PetId,Species,Breed,Premium,Deductible,Age,AmtClaimsYr1,AmtClaimsYr2,AvgClaimsYr1,AvgClaimsYr2,NumClaimsYr1,NumClaimsYr2,AmtClaimsTotal,AvgClaimsTotal,NumClaimsTotal,YrsWithClaims
0,Dog,Schnauzer Standard,84.54,200,3,0,1242,0,621,0,2,1242,621,2,1
1,Dog,Yorkiepoo,50.33,500,0,0,0,0,0,0,0,0,0,0,0
2,Dog,Mixed Breed Medium,74,500,0,640.63,1187.68,213.5433333,237.536,3,5,1828.31,451.0793333,8,2
3,Dog,Labrador Retriever,57.54,500,0,0,0,0,0,0,0,0,0,0,0
4,Dog,French Bulldog,60.69,700,0,7212.25,168.75,801.3611111,168.75,9,1,7381,970.1111111,10,2
5,Dog,Shih Tzu,43.53,700,2,2665.67,0,296.1855556,0,9,0,2665.67,296.1855556,9,1
6,Cat,American Shorthair,47.4,250,0,0,811.38,0,811.38,0,1,811.38,811.38,1,1
7,Dog,Boxer,75.14,700,5,2873.47,2497.03,410.4957143,356.7185714,7,7,5370.5,767.2142857,14,2
8,Cat,Domestic Longhair,24.52,250,2,0,0,0,0,0,0,0,0,0,0
9,Dog,Mixed Breed Small,41.07,500,1,0,0,0,0,0,0,0,0,0,0
10,Dog,Mixed Breed Large,80.83,200,0,13983.42,4913.93,665.8771429,818.9883333,21,6,18897.35,1484.865476,27,2
11,Dog,Golden Retriever,45.65,500,0,914.05,903.06,101.5611111,225.765,9,4,1817.11,327.3261111,13,2
12,Cat,Domestic Shorthair,47.42,200,6,0,2408.68,0,401.4466667,0,6,2408.68,401.4466667,6,1
13,Dog,Australian Shepherd,115.33,200,0,0,903.26,0,451.63,0,2,903.26,451.63,2,1
14,Cat,Domestic Shorthair,28.35,1000,0,0,0,0,0,0,0,0,0,0,0
15,Dog,Miniature Goldendoodle,27.94,700,0,512,0,512,0,1,0,512,512,1,1
16,Dog,Wirehaired Pointing Griffon,67.74,250,0,2189.1,262.55,729.7,262.55,3,1,2451.65,992.25,4,2
17,Cat,Mixed Breed,56.31,200,0,0,841.64,0,420.82,0,2,841.64,420.82,2,1
18,Cat,British Shorthair,69.09,200,6,0,0,0,0,0,0,0,0,0,0
